,Indicator Name,Indicator Code,Topic description
881,Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD,National accounts: income
882,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,Balance of payments: net
883,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Balance of payments: net
884,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Investment climate
885,New businesses registered (number),IC.BUS.NREG,Investment climate
886,Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,Social: health
887,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,Environment: general
888,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Environment: general
889,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,Environment: general
890,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE,Environment: general
891,Number of deaths ages 10-14 years,SH.DTH.1014,Social: health
892,Number of deaths ages 15-19 years,SH.DTH.1519,Social: health
893,Number of deaths ages 20-24 years,SH.DTH.2024,Social: health
894,Number of deaths ages 5-9 years,SH.DTH.0509,Social: health
895,Number of infant deaths,SH.DTH.IMRT,Social: health
896,Number of maternal deaths,SH.MMR.DTHS,Social: health
897,Number of neonatal deaths,SH.DTH.NMRT,Social: health
898,Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP1.TO,Social: health
899,Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,SH.UHC.NOP2.TO,Social: health
900,Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.10.TO,Social: health
901,Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,SH.UHC.OOPC.25.TO,Social: health
902,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Social: health
903,Number of under-five deaths,SH.DTH.MORT,Social: health
904,Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG,Investment climate
905,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Social: health
906,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Prices: period average
907,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,National accounts: income
908,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Trade: exports
909,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Trade: imports
910,Other expense (% of expense),GC.XPN.OTHR.ZS,Government finance: IMF
911,Other expense (current LCU),GC.XPN.OTHR.CN,Government finance: IMF
912,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,Environment: general
913,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,Environment: general
914,Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,National accounts: value added
915,Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,Government finance: IMF
916,Other taxes (current LCU),GC.TAX.OTHR.CN,Government finance: IMF
917,Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,Investment climate
918,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Social: health
919,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Social: health
920,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,Social: health
921,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,Social: education
922,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,Social: education
923,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,Social: education
924,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Social: labor
925,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Social: labor
926,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,Social: labor
927,"Patent applications, nonresidents",IP.PAT.NRES,Intellectual property
928,"Patent applications, residents",IP.PAT.RESD,Intellectual property
929,People practicing open defecation (% of population),SH.STA.ODFC.ZS,Social: health
930,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,Social: health
931,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,Social: health
932,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Social: health
933,"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,Social: health
934,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,Social: health
935,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Social: health
936,"People using at least basic sanitation services, rural (% of rural population)",SH.STA.BASS.RU.ZS,Social: health
937,"People using at least basic sanitation services, urban (% of urban population)",SH.STA.BASS.UR.ZS,Social: health
938,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,Social: health
939,"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,Social: health
940,"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,Social: health
941,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,Social: health
942,"People using safely managed sanitation services, rural (% of rural population)",SH.STA.SMSS.RU.ZS,Social: health
943,"People using safely managed sanitation services, urban (% of urban population)",SH.STA.SMSS.UR.ZS,Social: health
944,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,Social: health
945,"People with basic handwashing facilities including soap and water, rural (% of rural population)",SH.STA.HYGN.RU.ZS,Social: health
946,"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,Social: health
947,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,Index quality assessment
948,Permanent cropland (% of land area),AG.LND.CROP.ZS,Agriculture
949,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,Social: education
950,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,Social: education
951,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,Social: education
952,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,Social: education
953,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,Social: education
954,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,Social: education
955,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,"Balance of payments: imports, payments (credit)"
956,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,"Balance of payments: exports, receipts (debit)"
957,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,"Balance of payments: exports, receipts (debit)"
958,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,"Balance of payments: exports, receipts (debit)"
959,PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE,Environment: general
960,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Social: health
961,"Plant species (higher), threatened",EN.HPT.THRD.NO,Environment: general
962,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,Environment: general
963,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,Environment: general
964,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,Environment: general
965,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",EN.ATM.PM25.MC.T2.ZS,Environment: general
966,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",EN.ATM.PM25.MC.T3.ZS,Environment: general
967,"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,Debt: external
968,"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,Debt: external
969,"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,Social: population
970,"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Social: population
971,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Social: population
972,"Population ages 0-14, female",SP.POP.0014.FE.IN,Social: population
973,"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,Social: population
974,"Population ages 0-14, male",SP.POP.0014.MA.IN,Social: population
975,"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,Social: population
976,"Population ages 0-14, total",SP.POP.0014.TO,Social: population
977,"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Social: population
978,"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Social: population
979,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Social: population
980,"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Social: population
981,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Social: population
982,"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Social: population
983,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Social: population
984,"Population ages 15-64, female",SP.POP.1564.FE.IN,Social: population
985,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,Social: population
986,"Population ages 15-64, male",SP.POP.1564.MA.IN,Social: population
987,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,Social: population
988,"Population ages 15-64, total",SP.POP.1564.TO,Social: population
989,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Social: population
990,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,Social: population
991,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,Social: population
992,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,Social: population
993,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,Social: population
994,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,Social: population
995,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,Social: population
996,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,Social: population
997,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,Social: population
998,"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,Social: population
999,"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,Social: population
1000,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,Social: population
1001,"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,Social: population
1002,"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,Social: population
1003,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,Social: population
1004,"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,Social: population
1005,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,Social: population
1006,"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,Social: population
1007,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Social: population
1008,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Social: population
1009,"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,Social: population
1010,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,Social: population
1011,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,Social: population
1012,"Population ages 65 and above, total",SP.POP.65UP.TO,Social: population
1013,"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,Social: population
1014,"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,Social: population
1015,"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,Social: population
1016,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,Social: population
1017,"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,Social: population
1018,"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,Social: population
1019,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,Social: population
1020,"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,Social: population
1021,Population density (people per sq. km of land area),EN.POP.DNST,Environment: general
1022,Population growth (annual %),SP.POP.GROW,Social: population
1023,Population in largest city,EN.URB.LCTY,Environment: general
1024,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,Environment: general
1025,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,Environment: general
1026,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,Environment: general
1027,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,Environment: general
1028,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,Environment: general
1029,"Population, female",SP.POP.TOTL.FE.IN,Social: population
1030,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,Social: population
1031,"Population, male",SP.POP.TOTL.MA.IN,Social: population
1032,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Social: population
1033,"Population, total",SP.POP.TOTL,Social: population
1034,"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,"Balance of payments: exports, receipts (debit)"
1035,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,Debt: external
1036,"Portfolio investment, net (BoP, current US$)",BN.KLT.PTXL.CD,Balance of payments: net
1037,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,Social: income
1038,Poverty gap at $3.20 a day (2011 PPP) (%),SI.POV.LMIC.GP,Social: income
1039,Poverty gap at $5.50 a day (2011 PPP) (%),SI.POV.UMIC.GP,Social: income
1040,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Social: income
1041,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,Social: income
1042,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,Social: income
1043,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Social: income
1044,Power outages in firms in a typical month (number),IC.ELC.OUTG,Investment climate
1045,"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,Debt: external
1046,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,Debt: external
1047,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,Debt: external
1048,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Debt: external
1049,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,Debt: external
1050,"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,Debt: external
1051,"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,Debt: external
1052,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Prices: period average
1053,"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,Prices: period average
1054,Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,Social: health
1055,"Preprimary education, duration (years)",SE.PRE.DURS,Social: education
1056,"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,Debt: external
1057,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,Debt: external
1058,Present value of external debt (current US$),DT.DOD.PVLX.CD,Debt: external
1059,Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,Social: health
1060,Prevalence of anemia among non-pregnant women (% of women ages 15-49),SH.ANM.NPRG.ZS,Social: health
1061,Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Social: health
1062,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,Social: health
1063,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Social: health
1064,"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,Social: health
1065,"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,Social: health
1066,"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,Social: health
1067,"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,Social: health
1068,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Social: health
1069,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,Social: nutrition
1070,"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,Social: health
1071,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,Social: health
1072,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,Social: health
1073,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,Social: health
1074,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,Social: nutrition
1075,"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,Social: health
1076,"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,Social: health
1077,"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,Social: health
1078,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,Social: health
1079,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,Social: health
1080,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,Social: health
1081,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,Social: health
1082,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Social: nutrition
1083,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Social: health
1084,"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,Social: health
1085,"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,Social: health
1086,"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,Social: health
1087,"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,Social: health
1088,"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,Social: health
1089,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Prices: period average
1090,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,Social: education
1091,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,Social: education
1092,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Social: education
1093,"Primary education, duration (years)",SE.PRM.DURS,Social: education
1094,"Primary education, pupils",SE.PRM.ENRL,Social: education
1095,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,Social: education
1096,"Primary education, teachers",SE.PRM.TCHR,Social: education
1097,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,Social: education
1098,Primary government expenditures as a proportion of original approved budget (%),GF.XPD.BUDG.ZS,Public financial management
1099,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,"Balance of payments: imports, payments (credit)"
1100,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,"Balance of payments: exports, receipts (debit)"
1101,Primary school starting age (years),SE.PRM.AGES,Social: education
1102,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,Investment climate
1103,"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,Social: health
1104,"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,Social: health
1105,"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,Social: health
1106,"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,Social: health
1107,Procedures to build a warehouse (number),IC.WRH.PROC,Investment climate
1108,Procedures to register property (number),IC.PRP.PROC,Investment climate
1109,Profit tax (% of commercial profits),IC.TAX.PRFT.CP.ZS,Investment climate
1110,Progression to secondary school (%),SE.SEC.PROG.ZS,Social: education
1111,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,Social: education
1112,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,Social: education
1113,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,Social: income
1114,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,Social: health
1115,Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,Social: health
1116,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS,Social: health
1117,Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS,Social: health
1118,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,Social: gender
1119,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,Social: gender
1120,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,Social: gender
1121,Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),SG.VAW.1549.ZS,Social: gender
1122,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS,Debt: external
1123,Public and publicly guaranteed debt service (% of GNI),DT.TDS.DPPG.GN.ZS,Debt: external
1124,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,Investment climate
1125,Public private partnerships investment in energy (current US$),IE.PPN.ENGY.CD,Infrastructure: expenditure
1126,Public private partnerships investment in ICT (current US$),IE.PPN.ICTI.CD,Infrastructure: expenditure
1127,Public private partnerships investment in transport (current US$),IE.PPN.TRAN.CD,Infrastructure: expenditure
1128,Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD,Infrastructure: expenditure
1129,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Environment: prices
1130,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,Environment: prices
1131,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,Social: education
1132,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,Social: education
1133,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,Social: education
1134,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Social: education
1135,"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,Social: education
1136,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,Social: education
1137,Rail lines (total route-km),IS.RRS.TOTL.KM,Infrastructure: transportation
1138,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,Infrastructure: transportation
1139,"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM,Infrastructure: transportation
1140,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,Social: labor
1141,Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,Social: labor
1142,Real effective exchange rate index (2010 = 100),PX.REX.REER,Prices: index
1143,Real interest rate (%),FR.INR.RINR,Financial: interest rates
1144,Refugee population by country or territory of asylum,SM.POP.REFG,Social: migration
1145,Refugee population by country or territory of origin,SM.POP.REFG.OR,Social: migration
1146,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Environment: energy
1147,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Environment: energy
1148,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,Environment: resources
1149,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,Environment: resources
1150,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,Social: education
1151,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,Social: education
1152,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,Social: education
1153,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Government finance: other sources
1154,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Social: population
1155,"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Balance of payments: net
1156,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Government finance: IMF
1157,"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN,Government finance: IMF
1158,Risk of catastrophic expenditure for surgical care (% of people at risk),SH.SGR.CRSK.ZS,Social: health
1159,Risk of impoverishing expenditure for surgical care (% of people at risk),SH.SGR.IRSK.ZS,Social: health
1160,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Financial: interest rates
1161,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Agriculture
1162,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,Agriculture
1163,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,Agriculture
1164,Rural population,SP.RUR.TOTL,Social: population
1165,Rural population (% of total population),SP.RUR.TOTL.ZS,Social: population
1166,Rural population growth (annual %),SP.RUR.TOTL.ZG,Social: population
1167,Rural population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.RU.ZS,Environment: general
1168,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,Capital markets
1169,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,Social: education
1170,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,Social: education
1171,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,Social: education
1172,"School enrollment, primary (% gross)",SE.PRM.ENRR,Social: education
1173,"School enrollment, primary (% net)",SE.PRM.NENR,Social: education
1174,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,Social: education
1175,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Social: education
1176,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,Social: education
1177,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,Social: education
1178,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,Social: education
1179,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,Social: education
1180,"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,Social: education
1181,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Social: education
1182,"School enrollment, secondary (% net)",SE.SEC.NENR,Social: education
1183,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,Social: education
1184,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,Social: education
1185,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,Social: education
1186,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,Social: education
1187,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,Social: education
1188,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,Social: education
1189,"School enrollment, tertiary (% gross)",SE.TER.ENRR,Social: education
1190,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,Social: education
1191,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,Social: education
1192,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,Social: education
1193,Scientific and technical journal articles,IP.JRN.ARTC.SC,Intellectual property
1194,"Secondary education, duration (years)",SE.SEC.DURS,Social: education
1195,"Secondary education, general pupils",SE.SEC.ENRL.GC,Social: education
1196,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,Social: education
1197,"Secondary education, pupils",SE.SEC.ENRL,Social: education
1198,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,Social: education
